Brand,Model,Nb plies,Weight (g),Thick. (mm),Ply 1,Ply 2,Ply 3,Ply 4,Ply 5,Ply 6,Ply 7,Ply 8,Ply 9,Popular,Popularity Rank
Adidas,Avenger 5,5,86,5.9,Walnut,Fir,Ayous,Fir,Walnut,,,,,No,
Adidas,Avenger 7,7,92,0.0,Walnut,Ayous,Fir,Ayous,Fir,Ayous,Walnut,,,No,
Adidas,Avenger Carbon,7,90,5.6,Walnut,Fir,Carbon Fleece,Ayous,Carbon Fleece,Fir,Walnut,,,No,
Adidas,C100,5,80,0.0,Koto,Ayous,Ayous,Ayous,Koto,,,,,No,
Adidas,C300,5,80,0.0,Limba,Ayous,Kiri,Ayous,Limba,,,,,No,
Adidas,C500,7,80,0.0,Limba,Ayous,Carbon,Kiri,Carbon,Ayous,Limba,,,No,
Adidas,Challenge Force,5,86,6.0,Limba,Limba,Ayous,Limba,Limba,,,,,No,
Adidas,Challenge Light,5,80,5.6,Ayous,Ayous,Ayous,Ayous,Ayous,,,,,No,
Adidas,Challenge Speed,7,88,0.0,Limba,Ayous,Ayous,Ayous,Ayous,Ayous,Limba,,,No,
Adidas,FiberTec Classic,7,83,0.0,Black Locust,Carbon Kevlar™,Ayous,Kiri,Ayous,Carbon Kevlar™,Black Locust,,,No,
Adidas,FiberTec Extreme,7,88,0.0,Hinoki,Ayous,Carbon,Kiri,Carbon,Ayous,Hinoki,,,No,
Adidas,FiberTec Power,7,88,5.1,Limba,Carbon Kevlar™,Ayous,Kiri,Ayous,Carbon Kevlar™,Limba,,,No,
Adidas,HyperTouch,7,88,5.8,Koto,RX Carbon,Fir,Kiri,Fir,RX Carbon,Koto,,,No,
Adidas,Radix Ultimate,5,89,6.9,Hinoki,RX Carbon,Kiri,RX Carbon,Hinoki,,,,,No,
Adidas,Strike Wood 7,7,85,0.0,Limba,Ayous,Ayous,Ayous,Ayous,Ayous,Limba,,,No,
Adidas,Synchro Plus,5,70,0.0,Ayous,Ayous,Ayous,Ayous,Ayous,,,,,No,
Adidas,Synchro Unity,5,66,0.0,Ayous,Ayous,Ayous,Ayous,Ayous,,,,,No,
Adidas,V1.1,5,80,5.0,Mahogany,Koto,Kiri,Koto,Mahogany,,,,,No,
Adidas,V1.3,5,80,0.0,Hinoki,Awan,Kiri,Awan,Hinoki,,,,,No,
Adidas,V1.5,5,80,0.0,Mahogany,Awan,Kiri,Awan,Mahogany,,,,,No,
Alsér,Allround 5,5,86,5.9,Limba,Walnut,Ayous,Walnut,Limba,,,,,No,
Andro,Blax ALL+,5,73,0.0,Fineline,Koto,Balsa + Ayous,Koto,Fineline,,,,,No,
Andro,Blax OFF,5,78,0.0,Fineline,Koto,Balsa + Ayous,Koto,Fineline,,,,,No,
Andro,Core 7 OFF,7,85,0.0,Limba,Ayous,Ayous,Ayous,Ayous,Ayous,Limba,,,No,
Andro,Core 7 OFF+,7,88,6.8,Limba,Ayous,Ayous,Ayous,Ayous,Ayous,Limba,,,No,
Andro,CS7 Pro,7,90,0.0,Ayous,Ayous,Ayous,Ayous,Ayous,Ayous,Ayous,,,No,
Andro,CS7 Tour,7,90,0.0,Limba,Ayous,Ayous,Ayous,Ayous,Ayous,Limba,,,No,
Andro,CS7 Velocity,7,90,0.0,Hinoki,Ayous,Ayous,Ayous,Ayous,Ayous,Hinoki,,,No,
Andro,Gauzy SL,7,91,6.1,Ebony,Limba,Ayous,Red Samba (Ayous),Ayous,Limba,Ebony,,,No,
Andro,Kinetic ALL+,6,80,0.0,Limba,Limba,Ayous,Ayous,Limba,Limba,,,,No,
Andro,Kinetic CF Light ALL+,7,83,0.0,Ayous,Ayous,Carbon,Ayous,Carbon,Ayous,Ayous,,,No,
Andro,Kinetic CF Light OFF+,5,85,0.0,Fineline,Carbon,Kiri,Carbon,Fineline,,,,,No,
Andro,Kinetic Christian Süss Hinoki ALL+,5,75,0.0,Hinoki,Ayous,Ayous,Ayous,Hinoki,,,,,No,
Andro,Kinetic Christian Süss Hinoki OFF,5,85,0.0,Hinoki,Ayous,Ayous,Ayous,Hinoki,,,,,No,
Andro,Kinetic Supreme OFF-,7,85,0.0,Hinoki,ZLC,Ayous,Kiri,Ayous,ZLC,Hinoki,,,No,
Andro,Ligna ALL+,5,85,0.0,Limba,Ayous,Kiri,Ayous,Limba,,,,,No,
Andro,Ligna FR OFF,7,85,0.0,Spruce,Carbon,Spruce,Kiri,Spruce,Carbon,Spruce,,,No,
Andro,Ligna OFF,7,85,6.4,Spruce,Ayous,Carbon,Kiri,Carbon,Ayous,Spruce,,,No,
Andro,Ligna OFF+,5,85,6.8,Spruce,Ayous,Kiri,Ayous,Spruce,,,,,No,
Andro,Ligna Tour OFF+,5,85,0.0,Spruce,Ayous,Kiri,Ayous,Spruce,,,,,No,
Andro,Novacell OFF,5,85,5.7,Limba,Limba,Ayous,Limba,Limba,,,,,No,
Andro,Novacell OFF/S,5,80,5.8,Limba,Limba,Kiri,Limba,Limba,,,,,No,
Andro,Timber 5 OFF,5,85,6.3,Limba,Ayous,Kiri,Ayous,Limba,,,,,No,
